Make,Type,DiaInMm,LengthInMm,PartNo
2 HOLE HELIX,30 Deg Helix,9,90,2HH09090
2 HOLE HELIX,30 Deg Helix,9,100,2HH09100
2 HOLE HELIX,30 Deg Helix,9,110,2HH09110
2 HOLE HELIX,30 Deg Helix,9,120,2HH09120
2 HOLE HELIX,30 Deg Helix,9,130,2HH09130
2 HOLE HELIX,30 Deg Helix,9,140,2HH09140
2 HOLE HELIX,30 Deg Helix,9,150,2HH09150
2 HOLE HELIX,30 Deg Helix,9,160,2HH09160
2 HOLE HELIX,30 Deg Helix,9,170,2HH09170
2 HOLE HELIX,30 Deg Helix,9,180,2HH09180
2 HOLE HELIX,30 Deg Helix,9,190,2HH09190
2 HOLE HELIX,30 Deg Helix,9,200,2HH09200
2 HOLE HELIX,30 Deg Helix,9,210,2HH09210
2 HOLE HELIX,30 Deg Helix,9,220,2HH09220
2 HOLE HELIX,30 Deg Helix,9,230,2HH09230
2 HOLE HELIX,30 Deg Helix,9,240,2HH09240
2 HOLE HELIX,30 Deg Helix,9,250,2HH09250
2 HOLE HELIX,30 Deg Helix,9,330,2HH09330
2 HOLE HELIX,30 Deg Helix,10,50,2HH10050
2 HOLE HELIX,30 Deg Helix,10,60,2HH10060
2 HOLE HELIX,30 Deg Helix,10,70,2HH10070
2 HOLE HELIX,30 Deg Helix,10,80,2HH10080
2 HOLE HELIX,30 Deg Helix,10,90,2HH10090
2 HOLE HELIX,30 Deg Helix,10,100,2HH10100
2 HOLE HELIX,30 Deg Helix,10,110,2HH10110
2 HOLE HELIX,30 Deg Helix,10,120,2HH10120
2 HOLE HELIX,30 Deg Helix,10,130,2HH10130
2 HOLE HELIX,30 Deg Helix,10,140,2HH10140
2 HOLE HELIX,30 Deg Helix,10,150,2HH10150
2 HOLE HELIX,30 Deg Helix,10,160,2HH10160
2 HOLE HELIX,30 Deg Helix,10,170,2HH10170
2 HOLE HELIX,30 Deg Helix,10,180,2HH10180
2 HOLE HELIX,30 Deg Helix,10,190,2HH10190
2 HOLE HELIX,30 Deg Helix,10,200,2HH10200
2 HOLE HELIX,30 Deg Helix,10,210,2HH10210
2 HOLE HELIX,30 Deg Helix,10,220,2HH10220
2 HOLE HELIX,30 Deg Helix,10,230,2HH10230
2 HOLE HELIX,30 Deg Helix,10,240,2HH10240
2 HOLE HELIX,30 Deg Helix,10,250,2HH10250
2 HOLE HELIX,30 Deg Helix,10,330,2HH10330

2 HOLE STRAIGHT,NA,6,50,2HP06050
2 HOLE STRAIGHT,NA,6,60,2HP06060
2 HOLE STRAIGHT,NA,6,70,2HP06070
2 HOLE STRAIGHT,NA,6,80,2HP06080
2 HOLE STRAIGHT,NA,6,90,2HP06090
2 HOLE STRAIGHT,NA,6,100,2HP06100
2 HOLE STRAIGHT,NA,6,110,2HP06110
2 HOLE STRAIGHT,NA,6,120,2HP06120
2 HOLE STRAIGHT,NA,6,130,2HP06130
2 HOLE STRAIGHT,NA,6,140,2HP06140
2 HOLE STRAIGHT,NA,6,150,2HP06150
2 HOLE STRAIGHT,NA,6,160,2HP06160
2 HOLE STRAIGHT,NA,6,170,2HP06170
2 HOLE STRAIGHT,NA,6,180,2HP06180
2 HOLE STRAIGHT,NA,6,190,2HP06190
2 HOLE STRAIGHT,NA,6,200,2HP06200
2 HOLE STRAIGHT,NA,6,210,2HP06210
2 HOLE STRAIGHT,NA,6,220,2HP06220
2 HOLE STRAIGHT,NA,6,230,2HP06230
2 HOLE STRAIGHT,NA,6,240,2HP06240
2 HOLE STRAIGHT,NA,6,250,2HP06250
2 HOLE STRAIGHT,NA,6,330,2HP06330
2 HOLE STRAIGHT,NA,7,50,2HP07050
2 HOLE STRAIGHT,NA,7,60,2HP07060
2 HOLE STRAIGHT,NA,7,70,2HP07070
2 HOLE STRAIGHT,NA,7,80,2HP07080
2 HOLE STRAIGHT,NA,7,90,2HP07090
2 HOLE STRAIGHT,NA,7,100,2HP07100
2 HOLE STRAIGHT,NA,7,110,2HP07110
2 HOLE STRAIGHT,NA,7,120,2HP07120
2 HOLE STRAIGHT,NA,7,130,2HP07130
2 HOLE STRAIGHT,NA,7,140,2HP07140
2 HOLE STRAIGHT,NA,7,150,2HP07150
2 HOLE STRAIGHT,NA,7,160,2HP07160
2 HOLE STRAIGHT,NA,7,170,2HP07170
2 HOLE STRAIGHT,NA,7,180,2HP07180
2 HOLE STRAIGHT,NA,7,190,2HP07190
2 HOLE STRAIGHT,NA,7,200,2HP07200
2 HOLE STRAIGHT,NA,7,210,2HP07210
2 HOLE STRAIGHT,NA,7,220,2HP07220
2 HOLE STRAIGHT,NA,7,230,2HP07230
2 HOLE STRAIGHT,NA,7,240,2HP07240
2 HOLE STRAIGHT,NA,7,250,2HP07250
2 HOLE STRAIGHT,NA,7,330,2HP07330
2 HOLE STRAIGHT,NA,8,50,2HP08050
2 HOLE STRAIGHT,NA,8,60,2HP08060
2 HOLE STRAIGHT,NA,8,70,2HP08070
2 HOLE STRAIGHT,NA,8,80,2HP08080
2 HOLE STRAIGHT,NA,8,90,2HP08090
2 HOLE STRAIGHT,NA,8,100,2HP08100
2 HOLE STRAIGHT,NA,8,110,2HP08110
2 HOLE STRAIGHT,NA,8,120,2HP08120
2 HOLE STRAIGHT,NA,8,130,2HP08130
2 HOLE STRAIGHT,NA,8,140,2HP08140
2 HOLE STRAIGHT,NA,8,150,2HP08150
2 HOLE STRAIGHT,NA,8,160,2HP08160
2 HOLE STRAIGHT,NA,8,170,2HP08170
2 HOLE STRAIGHT,NA,8,180,2HP08180
2 HOLE STRAIGHT,NA,8,190,2HP08190
2 HOLE STRAIGHT,NA,8,200,2HP08200
2 HOLE STRAIGHT,NA,8,210,2HP08210
2 HOLE STRAIGHT,NA,8,220,2HP08220
2 HOLE STRAIGHT,NA,8,230,2HP08230
2 HOLE STRAIGHT,NA,8,240,2HP08240
2 HOLE STRAIGHT,NA,8,250,2HP08250
2 HOLE STRAIGHT,NA,8,330,2HP08330
2 HOLE STRAIGHT,NA,9,50,2HP09050
2 HOLE STRAIGHT,NA,9,60,2HP09060
2 HOLE STRAIGHT,NA,9,70,2HP09070
2 HOLE STRAIGHT,NA,9,80,2HP09080
2 HOLE STRAIGHT,NA,9,90,2HP09090
2 HOLE STRAIGHT,NA,9,100,2HP09100
2 HOLE STRAIGHT,NA,9,110,2HP09110
2 HOLE STRAIGHT,NA,9,120,2HP09120
2 HOLE STRAIGHT,NA,9,130,2HP09130
2 HOLE STRAIGHT,NA,9,140,2HP09140
2 HOLE STRAIGHT,NA,9,150,2HP09150
2 HOLE STRAIGHT,NA,9,160,2HP09160
2 HOLE STRAIGHT,NA,9,170,2HP09170
2 HOLE STRAIGHT,NA,9,180,2HP09180
2 HOLE STRAIGHT,NA,9,190,2HP09190
2 HOLE STRAIGHT,NA,9,200,2HP09200
2 HOLE STRAIGHT,NA,9,210,2HP09210
2 HOLE STRAIGHT,NA,9,220,2HP09220
2 HOLE STRAIGHT,NA,9,230,2HP09230
2 HOLE STRAIGHT,NA,9,240,2HP09240
2 HOLE STRAIGHT,NA,9,250,2HP09250
2 HOLE STRAIGHT,NA,9,330,2HP09330
2 HOLE STRAIGHT,NA,10,50,2HP10050
2 HOLE STRAIGHT,NA,10,60,2HP10060
2 HOLE STRAIGHT,NA,10,70,2HP10070
2 HOLE STRAIGHT,NA,10,80,2HP10080
2 HOLE STRAIGHT,NA,10,90,2HP10090
2 HOLE STRAIGHT,NA,10,100,2HP10100
2 HOLE STRAIGHT,NA,10,110,2HP10110
2 HOLE STRAIGHT,NA,10,120,2HP10120
2 HOLE STRAIGHT,NA,10,130,2HP10130
2 HOLE STRAIGHT,NA,10,140,2HP10140
2 HOLE STRAIGHT,NA,10,150,2HP10150
2 HOLE STRAIGHT,NA,10,160,2HP10160
2 HOLE STRAIGHT,NA,10,170,2HP10170
2 HOLE STRAIGHT,NA,10,180,2HP10180
2 HOLE STRAIGHT,NA,10,190,2HP10190
2 HOLE STRAIGHT,NA,10,200,2HP10200
2 HOLE STRAIGHT,NA,10,210,2HP10210
2 HOLE STRAIGHT,NA,10,220,2HP10220
2 HOLE STRAIGHT,NA,10,230,2HP10230
2 HOLE STRAIGHT,NA,10,240,2HP10240
2 HOLE STRAIGHT,NA,10,250,2HP10250
2 HOLE STRAIGHT,NA,10,330,2HP10330
